URL,MatchDateTime,Show,Snippet
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/484/end/519,10/8/2023 13:08:19,State of the Union With Jake Tapper and Dana Bash,"and this is -- this isn't about anything that jake missed but more broadly about the intelligence failure, not just about about the israelis but about the u.s. what you could say about that? well, two things, dana, first"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/517/end/552,10/8/2023 13:08:52,State of the Union With Jake Tapper and Dana Bash,"pursuing normalization between israel and its neighbors, building on what has already been done and including with saudi arabia and other conflicts like in yemen where we've had a truce now for two years have made a huge difference. what happened over last 24 hours"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/533/end/568,10/8/2023 13:09:08,State of the Union With Jake Tapper and Dana Bash,"doesn't go to state to state conflict where jake is exactly right, it is diminished. this goes to a terrorist attack by a terrorist organization. at same time, we have been intensely focused on tensions between israelis and palestinians. that is why we brought them"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/582/end/617,10/8/2023 13:09:57,State of the Union With Jake Tapper and Dana Bash,"what anyone missed, what might have -- what we could have done better. right now the focus is on helping israel to deal with this attack. i understand. the u.s., you mentioned saudi arabia. i want to ask you about that because the u.s., your administration has been,"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/601/end/636,10/8/2023 13:10:16,State of the Union With Jake Tapper and Dana Bash,"would -- working to craft a deal between israel and saudi arabia. do you think this attack was in part to disrupt that and could that be successful? certainly that could have been part of the motivation. look, who opposes normalization."
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/621/end/656,10/8/2023 13:10:36,State of the Union With Jake Tapper and Dana Bash,hamas and hezbollah and iran. and part of the motivation may have been disrupt efforts to bring saudi arabia and israel together. along with other countries that may be interested in normalizing relations with israel. so that is certainly a faker.
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/666/end/701,10/8/2023 13:11:21,State of the Union With Jake Tapper and Dana Bash,"reinforce it, to strengthen it. so there are two paths for the region. one is a path of much greater integration, much greater stability. and a resolution of the challenges between israelis and palestinians including equal"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/681/end/716,10/8/2023 13:11:36,State of the Union With Jake Tapper and Dana Bash,"measures of democracy and of opportunity and of justice and dignity for both israelis and palestinians or the path that hamas has engaged in, a path of terror and wreaking havoc in people lives and doing nothing to better the lives of the"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/697/end/732,10/8/2023 13:11:52,State of the Union With Jake Tapper and Dana Bash,"palestinians. on the the contrary, every action is making it worse for palestinians as well as israelis. do you have evidence that iran directed this attack? there is a lot relationship between iran and hamas. in fact, hamas wouldn't be"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/804/end/839,10/8/2023 13:13:39,State of the Union With Jake Tapper and Dana Bash,and it is deeply unfortunate that so many are playing politics when israel is under attack. the facts are these. no u.s. taxpayer dollars were involved. these are iranian resources that iran has accumulated from the
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/866/end/901,10/8/2023 13:14:41,State of the Union With Jake Tapper and Dana Bash,"before i let you go, i'll ask you about the united nations saying that they have detectived rockets from coming lebanon toward israel and hezbollah is taking responsible. have you seen intelligence that hezbollah is contemplating a"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/881/end/916,10/8/2023 13:14:56,State of the Union With Jake Tapper and Dana Bash,more folsom attack in the north of israel and would get help from the groups like taliban or iran as we've been talking about? well one of the reasons president biden was very clear from the very first moments that
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/915/end/950,10/8/2023 13:15:30,State of the Union With Jake Tapper and Dana Bash,"missiles coming from lebanon. that seems for now to have stopped and the israeli responded immediately and as of now that is quiet but it is something we're watching very carefully. secretary of state antony blinken, thank you so much for"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/929/end/964,10/8/2023 13:15:44,State of the Union With Jake Tapper and Dana Bash,"your time this morning on this very dark, dark day. appreciate it. thanks, dana. and up next, we'll get a live report from the ground in israel, nic robertson is there and will join us in minutes."
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1189/end/1224,10/8/2023 13:20:04,State of the Union With Jake Tapper and Dana Bash,"welcome back to 'state of the union.' israel and the world is reeling from yesterday's shocking terror attacks by hamas. cnn analysis sulggests that the death toll is likely to surpass 500. many of them are civilians,"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1206/end/1241,10/8/2023 13:20:21,State of the Union With Jake Tapper and Dana Bash,"including women an children, hundreds more are wouned and israeli officials say a significant number of israeli civilians have been taken hostage inside of gaza. for more on all of this, let's go nic robertson in sderot,"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1224/end/1259,10/8/2023 13:20:39,State of the Union With Jake Tapper and Dana Bash,"israel. reporter: the situation that we're seeing here in sderot is just really hours after theize raely defense forces took back control of this town from hamas. hamas was holed up for a while in the police station here. you could see the level of destruction, the fire fight by"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1240/end/1275,10/8/2023 13:20:55,State of the Union With Jake Tapper and Dana Bash,"israeli defense forces to take that building, so youust that building alone back last night was intense and going on into the early hours of this morning. but as you drive into this town here, everywhere along the road you're finding smashed cars, cars shot up, this burned out"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1258/end/1293,10/8/2023 13:21:13,State of the Union With Jake Tapper and Dana Bash,and shot up vehicle here. there is a big pool of blood on the other side of it. it is this sort of thing all across it town with just a couple of miles from gaza. we're hearing drones and fighter jets. we're hearing explosions as well
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1273/end/1308,10/8/2023 13:21:28,State of the Union With Jake Tapper and Dana Bash,"going on in the area of gaza. and i was speaking with an israeli defense force spokesperson just a few minutes ago about that issue of all of the hostages that have been taken and i asked him, how will you get them back and i said we're not going to leave anyone"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1288/end/1323,10/8/2023 13:21:43,State of the Union With Jake Tapper and Dana Bash,"behind. this presents a huge political challenge at the moment. the situation in sderot, the israeli defense forces may have control of it, but as the spokesperson was telling me, just a few hours ago they picked up a gaza resident in the town"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1303/end/1338,10/8/2023 13:21:58,State of the Union With Jake Tapper and Dana Bash,"here. he's come out with the militants and come in here to loot and rob in the town and had been stranded and left behind. and across this area, still in southern israel today, there are till contested areas with hamas"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1336/end/1371,10/8/2023 13:22:31,State of the Union With Jake Tapper and Dana Bash,"alert here because of the reality that all hamas militants are not back in gaza or as the defense forces here say, neutralize captured or killed. dana. that is such an important point."
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1351/end/1386,10/8/2023 13:22:46,State of the Union With Jake Tapper and Dana Bash,"this is very much an ongoing very fluid situation. it could not be over given the fact that there are still terrorists inside israel. nic robertson, thank you. joining me now is"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1386/end/1421,10/8/2023 13:23:21,State of the Union With Jake Tapper and Dana Bash,"israel. well it is a very heartbreaking situation, a tragic situation. we mourn for the loss of life that has taken place and for those israelis who are current by being held hostage in southern israel or in gaza."
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1403/end/1438,10/8/2023 13:23:38,State of the Union With Jake Tapper and Dana Bash,"i had a conversation with white house as well as the national security counsel yesterday, and the most important thing that needs to be said is that the united states will continue to stand strongly behind israel. america's bond with israel is"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1418/end/1453,10/8/2023 13:23:53,State of the Union With Jake Tapper and Dana Bash,unshakeable and unbreakable. we have stood strongly behind israel during the first 75 years we'll stand behind them for the next 75 years and beyond. you are part of what is known as the gang of eight.
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1434/end/1469,10/8/2023 13:24:09,State of the Union With Jake Tapper and Dana Bash,"and this is the top eight leaders in the house and the senate who get very sensitive intelligence information. was there any indication that any of this was on the horizon or even a possibility, this kind of terror attack inside israel?"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1466/end/1501,10/8/2023 13:24:41,State of the Union With Jake Tapper and Dana Bash,week. but our commitment to israel's security is ironclad. the most important thing that could take place right now is that we make sure israel has all of the resources that it needs to secure the situation on the
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1496/end/1531,10/8/2023 13:25:11,State of the Union With Jake Tapper and Dana Bash,"down the road, the israeli officials will undertake a complete analysis of what happened, why it happened, and how do you present or prevent this time of security situation from ever happening again."
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1510/end/1545,10/8/2023 13:25:25,State of the Union With Jake Tapper and Dana Bash,"the biden administration is now mulling, asking you and congress for additional aid and support for israel. it sounds like what you're saying is that you would very much support that. how much and in what form should"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1544/end/1579,10/8/2023 13:25:59,State of the Union With Jake Tapper and Dana Bash,"assistance it can to israel and to the idf at this moment in time. short of congressional action, there will likely be a need for some additional appropriations with respect to iron dome or david arrow, david's sling, some"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1561/end/1596,10/8/2023 13:26:16,State of the Union With Jake Tapper and Dana Bash,of israel defense systems that will need to be bolstered given the likelihood of a prolonged engagement that is going to take place in the region. and congress should certainly be prepared to do that sooner rather than later. i don't need to tell you that
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1609/end/1644,10/8/2023 13:27:04,State of the Union With Jake Tapper and Dana Bash,"forward to get the business of the american people done, both as it related to our domestic needs, solve problems on behalf of the american people, as well as our national security considerations in terms of being there for israel, being there for the ukrainian people, being"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/1848/end/1883,10/8/2023 13:31:03,State of the Union With Jake Tapper and Dana Bash,"of representatives, i really appreciate you coming on this morning. thank you. the israeli flag is flying across europe as the world weighs what comes next for israel. the chairman of the house foreign affairs committee"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2125/end/2160,10/8/2023 13:35:40,State of the Union With Jake Tapper and Dana Bash,in solidarity with israel. welcome back to 'state of the union.' israel has a long and grinding war. the next guest is promising american aid and the question is how quickly will congress be able to deliver.
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2154/end/2189,10/8/2023 13:36:09,State of the Union With Jake Tapper and Dana Bash,"you know, i have. i've been to the gaza border many times, there are tunnels that go floor gaza, hamas tunnels. and the civilians that live there are always terrorized by"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2187/end/2222,10/8/2023 13:36:42,State of the Union With Jake Tapper and Dana Bash,this beautiful woman who toured us around the cabutz in gaza and her parents were killed yesterday in this massacre. so it is real. it is such a tragedy to hear
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2203/end/2238,10/8/2023 13:36:58,State of the Union With Jake Tapper and Dana Bash,"about this. as the secretary said, this is not about armies going to war against each other. this is really been act of terrorism and invasion of israel with terrorist kidnapping children and killing people and indiscriminately and"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2215/end/2250,10/8/2023 13:37:10,State of the Union With Jake Tapper and Dana Bash,"unfortunately this is going to be a long, drawn out struggle because they're going to have to go house-to-house in gaza clearing the houses. they can't just indiscriminately bomb the homes and the buildings"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2233/end/2268,10/8/2023 13:37:28,State of the Union With Jake Tapper and Dana Bash,"in gaza. no question about that. and begin what you just said, how worried are you that this is going to become a full blown war, not just in this area and in gaza and israel, but in the broader middle east, in fact"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2411/end/2446,10/8/2023 13:40:26,State of the Union With Jake Tapper and Dana Bash,"this money. what you said about the taliban, sir, what information do you have that the taliban is actually planning to get involved and planning an attack of their own when it comes to israel?"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2440/end/2475,10/8/2023 13:40:55,State of the Union With Jake Tapper and Dana Bash,"really concerns me. as it stands right now, theize rael why im -- israeli military will take time to go house-to-house, but if this lights up into a larger sort of"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2472/end/2507,10/8/2023 13:41:27,State of the Union With Jake Tapper and Dana Bash,congressional aid to israel when you don't have a speaker of house? well it is not ideal. is wasn't my idea to oust the speaker. i thought it was dangerous. i look at the the world and all of the threats that are out
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2663/end/2698,10/8/2023 13:44:38,State of the Union With Jake Tapper and Dana Bash,"i appreciate it. thank you. and up next, we'll head to the magic wall to break down the military strategy. and then he has some sharp criticism for his fellow republicans, also running for president, including his former boss in the wake of the israel"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2894/end/2929,10/8/2023 13:48:29,State of the Union With Jake Tapper and Dana Bash,"marks at the magic wall to help us with some context. general. thank you, dan a. what we see right now is the area that's under attack is this area right here. this is gaza and by way of context, there have been a number of references to the 73"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2911/end/2946,10/8/2023 13:48:46,State of the Union With Jake Tapper and Dana Bash,"war which really was a conventional fight that took place here and then israel was saved up in this area. but, what we're looking at right now is this area specifically in the vicinity of gaza, where the"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2945/end/2980,10/8/2023 13:49:20,State of the Union With Jake Tapper and Dana Bash,synchronized warfare in order to achieve the surprise attack. what they did is they tried to do some amphibious assaults and though were picked up by the israeli navy and they did a number of drone attacks that came in and in excess of 2000 rockets were fired. if all of these locations which
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2961/end/2996,10/8/2023 13:49:36,State of the Union With Jake Tapper and Dana Bash,"was completely a surprise to the israelis, certainly on the 50th anniversary of that yom kippur war back in '73. and, general, this was a massive intelligence failure on"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2976/end/3011,10/8/2023 13:49:51,State of the Union With Jake Tapper and Dana Bash,"the part of israelis. perhaps the united states, too. what went wrong? yeah, i think it is a number of things. first of all, iran supports hamas clearly. we need to underline that and not talk around it. and what took place obviously,"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/2994/end/3029,10/8/2023 13:50:09,State of the Union With Jake Tapper and Dana Bash,hamas has been able to achieve tremendous support from iran an the planning for this probably took place over the course of years. israel exercised some tremendous restraint back in may of '21. you're not going to see that element of restraint here because of the amount of support
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3010/end/3045,10/8/2023 13:50:25,State of the Union With Jake Tapper and Dana Bash,"and the amount of damage that has been taken place. and the confidence that hamas now has. i don't know that this is going to expand any further. but we're going to see fighting in gaza that will be quite extensive. thank you so much, general"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3028/end/3063,10/8/2023 13:50:43,State of the Union With Jake Tapper and Dana Bash,"marks, i arereally appreciate t. and the war in israel is prompting a lot of concern. it is also revealing a split among republican candidates who want to be president. let's talk to one them. here with me is now former vice president mike pence. thank you so much for joining"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3061/end/3096,10/8/2023 13:51:16,State of the Union With Jake Tapper and Dana Bash,"hamas, against our most cherished ally israel. so hear the stories, to -- my wife and i have been to sderot, a beautiful community that has never been really free from terrorist impact as chairman mccaul just said. but nothing on this scale for 50"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3076/end/3111,10/8/2023 13:51:31,State of the Union With Jake Tapper and Dana Bash,"years has happened. and i think now is the time for all of us to speak with one voice and say that america tands with israel. and not just only say that we'll provide them with the resources and the means, but also that we will stand with them through the"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3093/end/3128,10/8/2023 13:51:48,State of the Union With Jake Tapper and Dana Bash,"difficult days ahead. i think the fact that the american embassy is jerusalem initially issued a call for restraint, that we've heard some more equivalence, look, israel"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3125/end/3160,10/8/2023 13:52:20,State of the Union With Jake Tapper and Dana Bash,"we send that message that we will stand with you today, we will make sure that israel has the resources to defend themselves, and that the united states will send a message to countries around the world that they need to stand down and let israel do what it needs to do to"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3142/end/3177,10/8/2023 13:52:37,State of the Union With Jake Tapper and Dana Bash,"end this terrorist threat against them emerging from gaza or anyone -- anywhere else in israel. i'm not sure if you heard earlier in the program, antony blinken told me there are missing and dead americans as"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3173/end/3208,10/8/2023 13:53:08,State of the Union With Jake Tapper and Dana Bash,"well, i would want answers. y but i want to make sure we're putting into israel's hands the ability to go and do the hard work that needs to be done. you know, it was back in the bush administration when they turned over gaza to hamas."
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/3186/end/3221,10/8/2023 13:53:21,State of the Union With Jake Tapper and Dana Bash,"i knew that would be a disaster then. it is been an utter historic failure. but in the wake of this unprecedented terrorist attack, land, sea and air coming out of gaza city, it is just time for"
